Comparison Report: Trinket Data Files Differences
Generated Date: 2025-12-30
External File: F:\Darkest Dungeon II\Darkest Dungeon II_Data\StreamingAssets\Excel\trinkets_data_export.Group.csv
Internal File: g:\Darkest Dungeon II\Darkest Dungeon II_Data\StreamingAssets\Excel\trinkets_data_export.Group.csv

,Difference Type,File Name,Line Number,Item/Trinket Name,External Value,Internal Value,Description
48,Cost Value,trinkets_data_export.Group.csv,1202,multiple trinkets,m_ItemQty: 65,m_ItemQty: 65,Epic trinket cost (consistent)
49,Cost Value,trinkets_data_export.Group.csv,1221,multiple trinkets,m_ItemQty: 100,m_ItemQty: 100,Boss trinket cost (consistent)
50,Cost Value,trinkets_data_export.Group.csv,1240,multiple trinkets,m_ItemQty: 100,m_ItemQty: 100,Boss trinket cost (consistent)
51,Cost Value,trinkets_data_export.Group.csv,1258,multiple trinkets,m_ItemQty: 30,m_ItemQty: 30,Rare trinket cost (consistent)
52,Cost Value,trinkets_data_export.Group.csv,1276,multiple trinkets,m_ItemQty: 30,m_ItemQty: 30,Rare trinket cost (consistent)
53,Cost Value,trinkets_data_export.Group.csv,1293,multiple trinkets,m_ItemQty: 30,m_ItemQty: 30,Rare trinket cost (consistent)
54,Cost Value,trinkets_data_export.Group.csv,1313,multiple trinkets,m_ItemQty: 30,m_ItemQty: 30,Rare trinket cost (consistent)
55,Cost Value,trinkets_data_export.Group.csv,1332,multiple trinkets,m_ItemQty: 30,m_ItemQty: 30,Rare trinket cost (consistent)
56,Cost Value,trinkets_data_export.Group.csv,1350,multiple trinkets,m_ItemQty: 65,m_ItemQty: 65,Epic trinket cost (consistent)
57,Cost Value,trinkets_data_export.Group.csv,1368,multiple trinkets,m_ItemQty: 65,m_ItemQty: 65,Epic trinket cost (consistent)
58,Cost Value,trinkets_data_export.Group.csv,1386,multiple trinkets,m_ItemQty: 100,m_ItemQty: 100,Boss trinket cost (consistent)
59,Cost Value,trinkets_data_export.Group.csv,1405,multiple trinkets,m_ItemQty: 100,m_ItemQty: 100,Boss trinket cost (consistent)
60,Buff Name,trinkets_data_export.Group.csv,13,multiple trinkets,trinket_tiered_minor_anchoring_charm_01,trinket_anchoring_charm_01,Minor tiered trinket buff name difference
61,Buff Name,trinkets_data_export.Group.csv,32,multiple trinkets,trinket_tiered_minor_bouncers_belt_01,trinket_bouncers_belt_01,Minor tiered trinket buff name difference
62,Buff Name,trinkets_data_export.Group.csv,50,multiple trinkets,trinket_tiered_minor_cleansing_censer_01,trinket_cleansing_censer_01,Minor tiered trinket buff name difference
63,Buff Name,trinkets_data_export.Group.csv,68,multiple trinkets,trinket_tiered_minor_clotting_cruor_01,trinket_clotting_cruor_01,Minor tiered trinket buff name difference
64,Buff Name,trinkets_data_export.Group.csv,86,multiple trinkets,trinket_tiered_minor_gilded_mind_01,trinket_gilded_mind_01,Minor tiered trinket buff name difference
65,Buff Name,trinkets_data_export.Group.csv,104,multiple trinkets,trinket_tiered_minor_hale_draught_01,trinket_hale_draught_01,Minor tiered trinket buff name difference
66,Buff Name,trinkets_data_export.Group.csv,122,multiple trinkets,trinket_tiered_minor_heartseeker_01,trinket_heartseeker_01,Minor tiered trinket buff name difference
67,Buff Name,trinkets_data_export.Group.csv,140,multiple trinkets,trinket_tiered_minor_heat_shield_01,trinket_heat_shield_01,Minor tiered trinket buff name difference
68,Buff Name,trinkets_data_export.Group.csv,158,multiple trinkets,trinket_tiered_minor_protectorate_01,trinket_protectorate_01,Minor tiered trinket buff name difference
69,Buff Name,trinkets_data_export.Group.csv,176,multiple trinkets,trinket_tiered_minor_sacrificial_host_01,trinket_sacrificial_host_01,Minor tiered trinket buff name difference
70,Buff Name,trinkets_data_export.Group.csv,194,multiple trinkets,trinket_tiered_minor_sharpness_charm_01,trinket_sharpness_charm_01,Minor tiered trinket buff name difference
71,Buff Name,trinkets_data_export.Group.csv,212,multiple trinkets,trinket_tiered_minor_wolfsblood_01,trinket_wolfsblood_01,Minor tiered trinket buff name difference
72,Buff Count,trinkets_data_export.Group.csv,13,multiple trinkets,3 buffs,2 buffs,External has one additional buff for minor trinkets
73,Buff Count,trinkets_data_export.Group.csv,32,multiple trinkets,2 buffs,2 buffs,Consistent
74,Buff Count,trinkets_data_export.Group.csv,50,multiple trinkets,3 buffs,2 buffs,External has one additional buff for minor trinkets
75,Buff Count,trinkets_data_export.Group.csv,68,multiple trinkets,2 buffs,2 buffs,Consistent
76,Buff Count,trinkets_data_export.Group.csv,86,multiple trinkets,3 buffs,2 buffs,External has one additional buff for minor trinkets
77,Buff Count,trinkets_data_export.Group.csv,104,multiple trinkets,2 buffs,2 buffs,Consistent
78,Buff Count,trinkets_data_export.Group.csv,122,multiple trinkets,2 buffs,2 buffs,Consistent
79,Buff Count,trinkets_data_export.Group.csv,140,multiple trinkets,2 buffs,2 buffs,Consistent
80,Buff Count,trinkets_data_export.Group.csv,158,multiple trinkets,2 buffs,2 buffs,Consistent
81,Buff Count,trinkets_data_export.Group.csv,176,multiple trinkets,2 buffs,2 buffs,Consistent
82,Buff Count,trinkets_data_export.Group.csv,194,multiple trinkets,2 buffs,2 buffs,Consistent
83,Buff Count,trinkets_data_export.Group.csv,212,multiple trinkets,2 buffs,2 buffs,Consistent
